"Name","Debut","Final","Position","Height","Weight","Birthday","School","HOF","Active","G","PTS","TRB","AST","FG.","FG3.","FT.","eFG.","PER","WS","RowNumber"
"Billy Cunningham",1966,1976,"['Forward', 'Center']",78,210,"June 3, 1943","['UNC']","True","False",770,21.2,10.4,4.3,45.2,26.3,73,45.2,20,78.6,1004
"Cade Cunningham",2022,2025,"['Guard']",78,220,"September 25, 2001","['Oklahoma State']","False","True",208,22.1,5.4,7.4,44.6,33.9,85.3,49.7,16.9,7,1005
"Dante Cunningham",2010,2019,"['Forward']",80,230,"April 22, 1987","['Villanova']","False","False",715,5.8,3.7,0.7,46.9,34.5,64.9,49.8,11.1,24.9,1006
"Dick Cunningham",1969,1975,"['Center']",82,245,"July 11, 1946","['Murray State']","False","False",358,2.8,3.7,0.6,40.6,NA,63.6,NA,10.5,4.2,1007
"Jared Cunningham",2013,2016,"['Guard']",76,195,"May 22, 1991","['Oregon State']","False","False",84,2.3,0.7,0.5,34.7,30.6,67.4,40.2,6.8,0.2,1008
"William Cunningham",1998,1999,"['Center']",83,250,"March 25, 1974","['Temple']","False","False",23,0.6,1.7,0.1,25.9,NA,0,25.9,2.2,-0.1,1009
"Radisav Ćurčić",1993,1993,"['Center']",82,275,"September 26, 1965","","False","False",20,2.9,2.5,0.6,39,NA,72.2,39,13.5,0.3,1010
"Armand Cure",1947,1947,"['Forward']",72,198,"August 1, 1919","['Rhode Island']","False","False",12,0.8,NA,0,26.7,NA,66.7,NA,NA,0,1011
"Earl Cureton",1981,1997,"['Forward', 'Center']",81,210,"September 3, 1957","['Robert Morris University (PA)', ' Detroit Mercy']","False","False",674,5.4,4.7,1,47.3,0,53.8,47.3,10.4,14.4,1012
"Bill Curley",1995,2001,"['Forward']",81,220,"May 29, 1972","['Boston College']","False","False",147,2.7,2,0.4,44.4,22.2,74.3,44.6,8.2,1.6,1013
"Fran Curran",1949,1950,"['Guard']",72,175,"September 9, 1922","['Notre Dame']","False","False",123,4.9,NA,1.2,39.5,NA,77.4,NA,NA,9.2,1014
"Dell Curry",1987,2002,"['Guard']",76,190,"June 25, 1964","['Virginia Tech']","False","False",1083,11.7,2.4,1.8,45.7,40.2,84.3,51.3,16,41.5,1015
"Eddy Curry",2002,2013,"['Center']",84,295,"December 5, 1982","","False","False",527,12.9,5.2,0.5,54.5,100,64.2,54.5,15.9,21.7,1016
"JamesOn Curry",2010,2010,"['Guard']",75,190,"January 7, 1986","['Oklahoma State']","False","False",1,0,0,0,NA,NA,NA,NA,NA,0,1017
"Michael Curry",1994,2005,"['Forward', 'Guard']",77,210,"August 22, 1968","['Georgia Southern University']","False","False",667,4.5,1.6,1.2,44.7,29.8,82.5,46.3,7.5,17.8,1018
"Seth Curry",2014,2025,"['Guard']",73,185,"August 23, 1990","['Liberty', ' Duke']","False","True",550,10,2,1.9,47.1,43.3,86.3,58.2,13.4,24.9,1019
"Stephen Curry",2010,2025,"['Guard']",74,185,"March 14, 1988","['Davidson']","False","True",1026,24.7,4.7,6.4,47.1,42.3,91.1,58.2,23.5,143.1,1020
"Rastko Cvetković",1996,1996,"['Center']",85,260,"June 22, 1970","","False","False",14,0.7,0.8,0.2,31.3,0,0,31.3,2.1,-0.1,1021
"Mike D'Antoni",1974,1977,"['Guard']",75,185,"May 8, 1951","['Marshall']","False","False",180,3.4,1.5,2,41.4,0,73.5,41.4,10.2,2,1022
"Tristan Da Silva",2025,2025,"['Forward']",80,217,"May 15, 2001","['Colorado']","False","True",74,7.2,3.3,1.5,41.2,33.5,87.3,49.5,9.9,2.5,1023
"Mike Dabich",1968,1968,"['Center']",84,242,"December 27, 1942","['New Mexico State']","False","False",10,2,1.3,0.2,66.7,NA,44.4,66.7,12,0.2,1024
"Pacome Dadiet",2025,2025,"['Forward']",79,210,"July 27, 2005","","False","True",18,1.7,1,0.3,32.3,31.6,66.7,41.9,6.3,0,1025
"Ed Dahler",1952,1952,"['Forward']",77,190,"January 31, 1926","['Duquesne']","False","False",14,2.5,1.6,0.4,36.8,NA,100,NA,10.4,0.1,1026
"Quintin Dailey",1983,1992,"['Guard']",75,180,"January 22, 1961","['San Francisco']","False","False",528,14.1,2.5,2.3,45.4,15.8,77.9,45.6,15.1,12.7,1027
"Samuel Dalembert",2002,2015,"['Center']",83,255,"May 10, 1981","['Seton Hall']","False","False",886,7.7,7.8,0.5,52.1,8.3,70.6,52.1,15.4,51.3,1028
"Howie Dallmar",1947,1949,"['Forward']",76,200,"May 24, 1922","['Stanford']","False","False",146,9.6,NA,2.3,28.3,NA,69.8,NA,NA,15.1,1029
"Erick Dampier",1997,2012,"['Center']",83,265,"July 14, 1975","['Mississippi State']","False","False",987,7.4,7.1,0.8,49.8,12.5,62.6,49.8,14.3,52.7,1030
"Louie Dampier",1968,1979,"['Guard']",72,170,"November 20, 1944","['Kentucky']","True","False",960,15.9,2.6,4.9,44.4,35.8,82,47.4,15.4,74.1,1031
"Bob Dandridge",1970,1982,"['Forward', 'Guard']",78,195,"November 15, 1947","['Norfolk State']","True","False",839,18.5,6.8,3.4,48.4,16.7,78,48.4,16.7,80.3,1032
"Antonio Daniels",1998,2011,"['Guard']",76,195,"March 19, 1975","['Bowling Green']","False","False",872,7.6,1.8,3.4,44.4,31.1,79.3,47.9,14.6,47,1033
"Dyson Daniels",2023,2025,"['Guard']",80,199,"March 17, 2003","","False","True",196,8.4,4.5,3.2,47.2,32.7,61.4,52.4,13.2,9.2,1034
"Erik Daniels",2005,2005,"['Forward']",80,214,"April 1, 1982","['Kentucky']","False","False",21,0.6,0.9,0.2,33.3,50,NA,36.1,4.6,-0.1,1035
"Lloyd Daniels",1993,1998,"['Guard']",79,205,"September 4, 1967","['Mount San Antonio College']","False","False",200,7.1,2.2,1.6,40.3,31.6,74.3,45.8,11.5,3.3,1036
"Marquis Daniels",2004,2013,"['Guard', 'Forward']",78,200,"January 7, 1981","['Auburn']","False","False",548,7.9,2.8,1.8,45.1,23.5,72.1,46.4,12.9,16.5,1037
"Mel Daniels",1968,1977,"['Center']",81,220,"July 20, 1944","['Southeastern Iowa Community College', ' West Burlington Campus', ' New Mexico']","True","False",639,18.4,14.9,1.8,46.8,8.8,65.7,46.8,20.1,64.8,1038
"Troy Daniels",2014,2020,"['Guard']",76,200,"July 15, 1991","['VCU']","False","False",339,6.6,1.3,0.5,40.1,39.5,79.9,54.6,10.4,5.1,1039
"Sasha Danilović",1996,1997,"['Guard']",77,200,"February 26, 1970","","False","False",75,12.8,2.4,2,43.9,37.9,78.9,51.8,11.7,4.2,1040
"N'Faly Dante",2025,2025,"['Center']",83,230,"October 19, 2001","['Oregon']","False","True",4,6,5.3,0.5,76.9,NA,80,76.9,24,0.3,1041
"Adrian Dantley",1977,1991,"['Forward', 'Guard']",77,208,"February 28, 1955","['Notre Dame']","True","False",955,24.3,5.7,3,54,17.1,81.8,54,21.5,134.2,1042
"Pete Darcey",1953,1953,"['Center']",79,217,"March 3, 1930","['Oklahoma State']","False","False",12,0.9,0.8,0.2,16.7,NA,55.6,NA,-5.7,-0.2,1043
"Jimmy Darden",1950,1950,"['Guard']",73,170,"June 19, 1922","['Denver']","False","False",26,8.1,NA,2.6,32.1,NA,68.8,NA,NA,-0.2,1044
"Ollie Darden",1968,1970,"['Forward', 'Center']",79,235,"July 28, 1944","['Michigan']","False","False",223,9.2,6.2,1,43.5,18.2,69.5,43.6,13.5,7.7,1045
"Yinka Dare",1995,1998,"['Center']",84,265,"October 10, 1972","['George Washington']","False","False",110,2.1,2.6,0,39.6,NA,57,39.6,6.2,-0.7,1046
"Jesse Dark",1975,1975,"['Guard']",77,210,"September 2, 1951","['VCU']","False","False",47,3.6,0.8,0.6,47.1,NA,55,NA,11,0.3,1047
"Nate Darling",2021,2021,"['Guard']",78,200,"August 30, 1998","['UAB', ' University of Delaware']","False","True",7,1.3,0.1,0.1,28.6,28.6,100,42.9,8.2,0,1048
"Rick Darnell",1976,1976,"['Center', 'Forward']",82,215,"January 1, 1953","['Cypress College', ' Indiana State University', ' San Jose State']","False","False",11,2.4,3.3,0.8,36.7,NA,57.1,36.7,4.7,-0.1,1049
"Jimmy Darrow",1962,1962,"['Guard']",70,170,"September 25, 1937","['Bowling Green']","False","False",5,2.4,1.4,1.2,20,NA,85.7,NA,6,-0.1,1050
"Gigi Datome",2014,2015,"['Forward']",80,215,"November 27, 1987","","False","False",55,3.4,1.4,0.4,41.4,31.6,81.8,48.1,11.3,0.3,1051
"Brad Daugherty",1987,1994,"['Center']",84,245,"October 19, 1965","['UNC']","False","False",548,19,9.5,3.7,53.2,14.3,74.7,53.2,18.9,65.2,1052
"Mack Daughtry",1971,1971,"['Guard']",75,175,"July 20, 1946","['Albany State University']","False","False",4,3.3,1.3,0.8,40,NA,100,40,11.9,0.1,1053
"Kornél Dávid",1999,2001,"['Forward']",81,235,"October 22, 1971","","False","False",109,5,2.8,0.6,44.6,0,81.7,44.6,12.5,2.5,1054
"Jermareo Davidson",2008,2009,"['Forward']",82,230,"November 15, 1984","['Alabama']","False","False",52,3.1,1.8,0.3,42.5,NA,57.8,42.5,10.5,0,1055
"Bob Davies",1949,1955,"['Guard', 'Forward']",73,175,"January 15, 1920","['Seton Hall']","True","False",462,14.3,2.9,4.9,37.8,NA,75.9,NA,18.1,49.7,1056
"Brandon Davies",2014,2015,"['Forward']",82,240,"July 25, 1991","['BYU']","False","False",78,3.7,2.5,0.7,41.1,22.7,64.4,43,8.7,0.3,1057
"Anthony Davis",2013,2025,"['Forward', 'Center']",82,253,"March 11, 1993","['Kentucky']","False","True",787,24.1,10.7,2.6,52.2,29.6,79.4,53.6,26.8,118.8,1058
"Antonio Davis",1994,2006,"['Forward', 'Center']",81,215,"October 31, 1968","['Texas-El Paso']","False","False",903,10,7.5,1.1,44.8,8.7,72.7,44.8,14.1,59.6,1059
"Aubrey Davis",1947,1947,"['Guard', 'Forward']",74,175,"March 28, 1921","['Oklahoma Baptist University']","False","False",59,4.9,NA,0.2,28.1,NA,63.5,NA,NA,3.9,1060
"Baron Davis",2000,2012,"['Guard']",75,209,"April 13, 1979","['UCLA']","False","False",835,16.1,3.8,7.2,40.9,32,71.1,46.5,17.8,63.1,1061
"Ben Davis",1997,2000,"['Forward']",81,240,"December 26, 1972","['Kansas', ' Arizona']","False","False",40,1.4,1.3,0.1,35.6,NA,46.2,35.6,12.5,0.1,1062
"Bill Davis",1947,1947,"['Forward']",75,215,"October 3, 1920","['Notre Dame']","False","False",47,1.8,NA,0.2,24,NA,34.1,NA,NA,0.2,1063
"Bob Davis",1973,1973,"['Forward']",79,215,"April 2, 1950","['Weber State']","False","False",9,1.8,0.6,0.2,21.4,NA,66.7,NA,-1,-0.3,1064
"Brad Davis",1978,1992,"['Guard']",75,180,"December 17, 1955","['Maryland']","False","False",961,8.2,1.8,4.9,51,32.1,82.8,53.4,14.7,53.6,1065
"Brian Davis",1994,1994,"['Forward', 'Guard']",79,200,"June 21, 1970","['Duke']","False","False",68,1.9,0.8,0.3,31.7,33.3,73.5,32.1,9.2,0,1066
"Charles Davis",1982,1990,"['Forward']",79,215,"October 5, 1958","['Vanderbilt']","False","False",415,5.3,2.4,0.7,45.1,17,73.7,45.5,11.6,5.8,1067
"Charlie Davis",1972,1974,"['Guard']",74,160,"September 7, 1949","['Wake Forest']","False","False",144,8.9,1.5,2.2,40.8,NA,80.6,NA,11.9,1.4,1068
"Dale Davis",1992,2007,"['Forward', 'Center']",83,230,"March 25, 1969","['Clemson']","False","False",1094,8,7.9,0.9,53,0,56.2,53,15.2,86.9,1069
"Deyonta Davis",2017,2019,"['Center', 'Forward']",83,237,"December 2, 1996","['Michigan State']","False","False",107,4.2,3.2,0.4,59.9,0,63.5,59.9,15.4,3.6,1070
"Dwight Davis",1973,1977,"['Forward']",80,220,"October 28, 1949","['Houston']","False","False",340,8.6,5.9,1.6,42.3,NA,73,NA,12.3,11.4,1071
"Ed Davis",2011,2022,"['Forward']",81,218,"June 5, 1989","['UNC']","False","False",722,5.9,6.4,0.7,56.7,0,58.3,56.7,16.4,43.3,1072
"Emanual Davis",1997,2003,"['Guard']",76,195,"August 27, 1968","['Delaware State University']","False","False",226,4.9,1.9,1.8,39.4,35.2,78.7,47.1,9.6,2.5,1073
"Glen Davis",2008,2015,"['Forward', 'Center']",81,289,"January 1, 1986","['LSU']","False","False",514,8,4.4,0.9,44.7,18.2,70,44.8,12.4,18.6,1074
"Harry Davis",1979,1980,"['Forward']",79,220,"January 27, 1956","['Florida State']","False","False",44,4,1.6,0.4,43.6,NA,68.9,43.6,10.3,0.3,1075
"Hubert Davis",1993,2004,"['Guard']",77,183,"May 17, 1970","['UNC']","False","False",685,8.2,1.5,1.7,45.8,44.1,83.7,53.7,11.8,27.7,1076
"Jim Davis",1968,1975,"['Center', 'Forward']",81,225,"December 18, 1941","['Colorado']","False","False",597,6.7,5.2,1.2,46.1,NA,67.4,NA,14.2,19.2,1077
"Johnny Davis",1977,1986,"['Guard']",74,170,"October 21, 1955","['Dayton']","False","False",750,12.9,2,4.5,44.8,17.6,82.1,45,14.3,38.5,1078
"Johnny Davis",2023,2025,"['Guard']",77,196,"February 27, 2002","['Wisconsin']","False","True",112,3.5,1.6,0.6,39.7,27.3,56.1,44.4,7.3,-0.4,1079
"Josh Davis",2004,2012,"['Forward']",80,235,"August 10, 1980","['Wyoming']","False","False",67,2.3,1.7,0.3,37.3,32.9,72.4,45,11,0.8,1080
"Lee Davis",1969,1976,"['Center', 'Forward']",80,235,"October 11, 1945","['NC Central']","False","False",453,7.8,4.8,1,48.2,18.9,60.7,48.4,14.8,12.7,1081
"Mark Davis",1989,1989,"['Forward', 'Guard']",78,195,"June 8, 1963","['Old Dominion']","False","False",33,3.8,1.1,0.4,48,10,82.4,48.5,15,0.7,1082
"Mark Davis",1996,2000,"['Guard', 'Forward']",79,210,"April 26, 1973","['Howard College', ' Texas Tech']","False","False",230,5.5,3,1.3,44.2,24.6,65.5,45.5,11.9,2.3,1083
"Mel Davis",1974,1977,"['Forward']",78,220,"November 9, 1950","[""St. John's""]","False","False",190,5.3,4.3,0.9,37.6,NA,70.9,NA,12,0.3,1084
"Mickey Davis",1972,1977,"['Forward', 'Guard']",79,195,"June 16, 1950","['Duquesne']","False","False",309,5,2.7,1,45.5,0,83.5,45.5,13.9,8.8,1085
"Mike Davis",1970,1973,"['Guard']",75,185,"July 26, 1946","['Virginia Union University']","False","False",242,10.1,2.1,1.7,42.4,26.1,76.5,42.5,12.2,5,1086
"Mike Davis",1983,1983,"['Forward']",82,230,"August 2, 1956","['Maryland']","False","False",8,1.8,1.3,0,40,NA,60,40,21.1,0.1,1087
"Monti Davis",1981,1981,"['Forward']",79,205,"July 26, 1958","['Tennessee State']","False","False",2,1.5,2,0,20,NA,20,20,4.5,-0.1,1088
"Paul Davis",2007,2010,"['Center']",83,270,"July 21, 1984","['Michigan State']","False","False",82,2.6,1.9,0.4,40.2,0,73.2,40.2,10.6,0.5,1089
"Ralph Davis",1961,1962,"['Guard']",76,180,"September 7, 1938","['Cincinnati']","False","False",150,8,1.7,2.8,40.9,NA,67.7,NA,9.4,0.4,1090
"Red Davis",1956,1956,"['Center']",79,220,"April 22, 1932","[""St. John's""]","False","False",3,0.7,1.3,0.3,0,NA,100,NA,-3.3,-0.1,1091
"Ricky Davis",1999,2010,"['Guard', 'Forward']",78,195,"September 23, 1979","['Iowa']","False","False",736,13.5,3.5,3.3,44.6,36.1,78.1,48,14.7,28,1092
"Ron Davis",1977,1982,"['Guard', 'Forward']",78,198,"May 1, 1954","['Washington State']","False","False",78,5.3,1.8,0.7,42,25,57.1,42.2,10.7,0.1,1093
"Terence Davis",2020,2025,"['Guard']",76,201,"May 16, 1997","['Ole Miss']","False","True",228,8,2.7,1.3,43.3,36.6,82.6,54.2,13.3,5.3,1094
"Terry Davis",1990,2001,"['Forward', 'Center']",81,225,"June 17, 1967","['Virginia Union University']","False","False",480,6.4,6,0.6,47.2,15.8,60.5,47.3,10.9,12.1,1095
"Tyler Davis",2019,2019,"['Center']",82,266,"May 22, 1997","['Texas A&M']","False","False",1,0,1,0,0,NA,NA,0,0,0,1096
"Walt Davis",1954,1958,"['Center', 'Forward']",80,205,"January 5, 1931","['Texas A&M']","False","False",325,4.8,4.3,0.7,37.7,NA,69.5,NA,9.6,4.8,1097
"Walter Davis",1978,1992,"['Guard', 'Forward']",78,193,"September 9, 1954","['UNC']","True","False",1033,18.9,3,3.8,51.1,27.2,85.1,51.6,19.1,76.9,1098
"Warren Davis",1968,1973,"['Forward', 'Center']",78,212,"June 30, 1943","['North Carolina A&T']","False","False",447,12.2,9.2,2.1,48,12.5,69.1,48,15.4,29.5,1099
"Willie Davis",1971,1971,"['Center']",80,234,"August 9, 1945","['University of North Texas']","False","False",8,2.3,1.6,0.3,46.7,NA,50,46.7,16.4,0,1100
"JD Davison",2023,2025,"['Guard']",73,195,"October 3, 2002","['Alabama']","False","True",36,1.9,0.9,0.9,38.5,28.1,69.2,45.4,10.1,0.1,1101
"Andre Dawkins",2015,2015,"['Guard']",77,215,"September 19, 1991","['Duke']","False","False",4,0.8,0.5,0.3,16.7,16.7,NA,25,-5,-0.1,1102
"Darryl Dawkins",1976,1989,"['Center']",83,251,"January 11, 1957","","False","False",726,12,6.1,1.3,57.2,13.3,68.5,57.2,15.8,46.4,1103
"Johnny Dawkins",1987,1995,"['Guard']",74,165,"September 28, 1963","['Duke']","False","False",541,11.1,2.5,5.5,45.6,33,85.7,47.4,14.7,21.8,1104
"Paul Dawkins",1980,1980,"['Forward']",77,190,"June 10, 1957","['Northern Illinois']","False","False",57,5.5,2.2,1.4,47,20,68.8,47.2,11,-0.1,1105
"Branden Dawson",2016,2016,"['Forward']",78,225,"February 1, 1993","['Michigan State']","False","False",6,0.8,0.7,0,40,NA,100,40,7.1,0,1106
"Eric Dawson",2012,2012,"['Forward']",81,250,"July 7, 1984","['Midwestern State University']","False","False",4,3.8,2.5,0,58.3,NA,50,58.3,14.6,0.1,1107
"Jimmy Dawson",1968,1968,"['Guard']",72,175,"April 18, 1945","['Illinois']","False","False",21,5.6,1,1.5,34.6,14.3,58.1,35,9.7,-0.3,1108
"Tony Dawson",1991,1995,"['Forward']",79,215,"August 25, 1967","['Florida State']","False","False",6,2.8,0.8,0.2,46.7,50,100,53.3,11.6,0,1109
"Todd Day",1993,2001,"['Guard', 'Forward']",78,188,"January 7, 1970","['Arkansas']","False","False",483,12.3,3.4,1.5,40.6,34.5,73.9,46.2,14.1,17.5,1110
"Austin Daye",2010,2015,"['Forward']",83,220,"June 5, 1988","['Gonzaga']","False","False",293,5.2,2.6,0.7,40.2,35.1,77.8,46.9,11.6,4.5,1111
"Darren Daye",1984,1988,"['Forward', 'Guard']",80,220,"November 30, 1960","['UCLA']","False","False",328,6.8,2.6,2,49.1,11.8,68.1,49.1,13.9,9.3,1112
"Darius Days",2023,2023,"['Forward']",79,245,"October 20, 1999","['LSU']","False","True",4,3.8,1.5,0.3,41.7,30,100,54.2,18.3,0.1,1113
"Nando De Colo",2013,2014,"['Guard']",77,200,"June 23, 1987","","False","False",119,3.8,1.8,1.7,42.9,36.3,83.5,49.1,11.8,2.4,1114
"Billy DeAngelis",1971,1971,"['Guard']",73,180,"October 5, 1946","[""Saint Joseph's""]","False","False",8,1.3,0.8,1,50,NA,66.7,50,3.1,0.1,1115
"Dave DeBusschere",1963,1974,"['Forward', 'Guard']",78,220,"October 16, 1940","['Detroit Mercy']","True","False",875,16.1,11,2.9,43.2,NA,69.9,NA,15.5,60.8,1116
"Andrew DeClercq",1996,2005,"['Forward', 'Center']",82,230,"February 1, 1973","['Florida']","False","False",587,4.8,4.2,0.6,50.7,0,62.1,50.7,12.1,19.4,1117
"Javin DeLaurier",2022,2022,"['Forward']",82,237,"April 7, 1998","['Duke']","False","False",1,0,1,0,NA,NA,NA,NA,15.6,0,1118
"Nate DeLong",1952,1952,"['Center']",78,220,"January 5, 1926","['Wisconsin-River Falls']","False","False",17,3.8,1.8,0.8,47.6,NA,68.6,NA,21.3,0.8,1119
"Joe DePre",1971,1973,"['Guard']",75,185,"December 19, 1947","[""St. John's""]","False","False",119,7,1.9,1.6,47.7,20,73.5,47.8,7.6,3,1120
"DeMar DeRozan",2010,2025,"['Guard', 'Forward']",78,220,"August 7, 1989","['USC']","False","True",1187,21.3,4.4,4.1,46.9,30,84.2,48.5,18.9,108.5,1121
"Hank DeZonie",1951,1951,"['Center', 'Forward']",78,215,"February 12, 1922","['Clark Atlanta University']","False","False",5,3.4,3.6,1.8,24,NA,71.4,NA,NA,-0.1,1122
"Greg Deane",1980,1980,"['Guard']",76,190,"December 6, 1957","['Utah']","False","False",7,1.4,0.9,0.9,18.2,100,71.4,22.7,4.5,-0.1,1123
"Gabriel Deck",2021,2022,"['Forward']",80,232,"February 8, 1995","","False","False",17,6,2.7,1.7,49.4,21.1,81.8,51.9,15.1,0.6,1124
"Dewayne Dedmon",2014,2023,"['Center']",84,245,"August 12, 1989","['USC']","False","True",515,6.3,5.8,0.7,52.6,33.6,73.1,56.5,15.1,23.3,1125
"Don Dee",1969,1969,"['Forward']",80,210,"August 9, 1943","['Saint Louis', ' Saint Mary of the Plains College']","False","False",58,5.7,5,0.6,35.7,0,74.7,35.7,7,-0.3,1126
"Archie Dees",1959,1962,"['Forward', 'Center']",80,205,"February 22, 1936","['Indiana']","False","False",190,8.1,4.8,0.7,40.2,NA,79.4,NA,15.1,5.4,1127
"Terry Dehere",1994,1999,"['Guard']",74,190,"September 12, 1971","['Seton Hall']","False","False",402,8,1.5,2.6,41.1,37.8,77.9,47.3,12.7,7.3,1128
"Red Dehnert",1947,1947,"['Forward']",75,175,"January 24, 1924","['Columbia University']","False","False",10,1.4,NA,0,40,NA,33.3,NA,NA,0.1,1129
"Bryce Dejean-Jones",2016,2016,"['Guard']",78,209,"August 21, 1992","['USC', ' UNLV', ' Iowa State']","False","False",14,5.6,3.4,1.1,40.6,37.5,52.4,49.3,9.6,0.2,1130
"Sam Dekker",2016,2022,"['Forward']",81,230,"May 6, 1994","['Wisconsin']","False","False",201,5.4,3,0.8,47.8,28.8,60.6,52.5,12.7,5.4,1131
"Vinny Del Negro",1989,2002,"['Guard']",76,185,"August 9, 1966","['NC State']","False","False",771,9.1,2.3,3.2,47.5,35.9,84,49.5,13.5,40.6,1132
"Malcolm Delaney",2017,2018,"['Guard']",75,190,"March 11, 1989","['Virginia Tech']","False","False",127,5.7,1.8,2.8,37.7,30.8,80.5,43.1,8.9,1.1,1133
"Bison Dele",1992,1999,"['Forward', 'Center']",81,235,"April 6, 1969","['Maryland', ' Arizona']","False","False",413,11,6.2,1.1,52.8,14.3,69.1,52.8,16.5,22.8,1134
"Carlos Delfino",2005,2013,"['Guard']",78,230,"August 29, 1982","","False","False",507,8.1,3.6,1.7,40.1,36.5,75.8,49.4,12.6,22.5,1135
"Ángel Delgado",2019,2019,"['Center']",82,245,"November 20, 1994","['Seton Hall']","False","False",2,1.5,2,0,20,NA,50,20,4.3,0,1136
"Tony Delk",1997,2006,"['Guard']",73,189,"January 28, 1974","['Kentucky']","False","False",545,9.1,2.5,1.9,40.8,34.3,76.9,45.9,13.7,19.5,1137
"Matthew Dellavedova",2014,2023,"['Guard']",75,200,"September 8, 1990","[""Saint Mary's""]","False","True",479,5.2,1.7,3.5,38.5,36.3,83.5,47.3,9.7,10.2,1138
"Fennis Dembo",1989,1989,"['Forward']",77,215,"January 24, 1966","['Wyoming']","False","False",31,1.2,0.7,0.2,33.3,0,80,33.3,7.8,-0.1,1139
"Larry Demic",1980,1982,"['Forward', 'Center']",81,225,"June 27, 1957","['Arizona']","False","False",206,4.7,3.9,0.5,45.9,0,58,45.9,8.1,1.4,1140
"Dell Demps",1994,1997,"['Guard']",75,205,"February 12, 1970","['University of the Pacific']","False","False",20,3,0.5,0.5,50,33.3,76.2,51.2,14.4,0.1,1141
"George Dempsey",1955,1959,"['Guard']",74,190,"July 19, 1929","[""King's College""]","False","False",315,5,3.6,2.3,40.7,NA,66.1,NA,12.4,10.8,1142
"Luol Deng",2005,2019,"['Forward']",81,237,"April 16, 1985","['Duke']","False","False",902,14.8,6.1,2.3,45.6,33.2,76.9,48.5,15.4,74,1143
"Kenny Dennard",1982,1984,"['Forward']",80,220,"October 18, 1958","['Duke']","False","False",95,2.8,3,1,42.9,30,64.4,43.5,9.3,1.4,1144
"Blaine Denning",1953,1953,"['Guard']",74,175,"September 19, 1930","['Lawrence Technological University']","False","False",1,5,4,0,40,NA,100,NA,18.9,0,1145
"Dexter Dennis",2024,2024,"['Guard']",77,210,"February 9, 1999","['Wichita State', ' Texas A&M']","False","True",4,5.5,2.3,1,52.6,12.5,33.3,55.3,18.3,0,1146
"RayJ Dennis",2025,2025,"['Guard']",74,180,"March 30, 2001","['Boise State', ' Toledo', ' Baylor']","False","True",11,2.7,1.1,1.3,33.3,28.6,100,42.4,13.9,0.1,1147
"Justin Dentmon",2012,2013,"['Guard']",71,185,"September 5, 1985","['Washington']","False","False",8,3.3,1,1.3,33.3,14.3,66.7,36.7,3.8,-0.1,1148
"Randy Denton",1972,1977,"['Center']",82,240,"February 18, 1949","['Duke']","False","False",413,11.5,8.6,1.3,47.3,21.4,77.9,47.3,17.2,20.2,1149
"Rod Derline",1975,1976,"['Guard']",72,175,"March 11, 1952","['Seattle University']","False","False",107,4.8,0.8,0.7,41.9,NA,78.6,NA,12.7,0.8,1150
"Marcus Derrickson",2019,2019,"['Forward']",79,249,"February 1, 1996","['Georgetown']","False","False",11,4.2,1.2,0.1,48.5,50,80,63.6,19.4,0.2,1151
"Dave Deutsch",1967,1967,"['Guard']",73,170,"May 13, 1945","['University of Rochester']","False","False",19,1.1,1.1,0.8,16.7,NA,45,NA,2.4,-0.5,1152
"Corky Devlin",1956,1958,"['Guard']",77,195,"December 21, 1931","['George Washington']","False","False",210,7.1,2.1,2.1,36.6,NA,74.2,NA,11.7,3.8,1153
"Ernie DiGregorio",1974,1978,"['Guard']",72,180,"January 15, 1951","['Providence']","False","False",312,9.6,2,5.1,41.5,NA,90.2,NA,12.2,2.5,1154
"Donte DiVincenzo",2019,2025,"['Guard']",76,203,"January 31, 1997","['Villanova']","False","True",416,10.7,4.3,2.9,42.7,38,77.2,55,13.6,23.9,1155
"Moussa Diabaté",2023,2025,"['Forward']",83,210,"January 21, 2002","['Michigan']","False","True",104,4.7,4.9,0.6,58.1,12.5,60.3,58.2,16.6,4,1156
"Mamadi Diakite",2021,2024,"['Forward']",81,228,"January 21, 1997","['Virginia']","False","True",55,3.1,2.3,0.4,48.3,22.9,69.7,51,11.2,0.9,1157
"Derrick Dial",2000,2004,"['Guard']",76,184,"December 20, 1975","['Eastern Michigan']","False","False",82,3.1,1.6,0.8,37.2,19,67.2,38.6,12.2,0.6,1158
"Cheick Diallo",2017,2022,"['Forward']",80,219,"September 13, 1996","['Kansas']","False","True",183,5.2,4.1,0.4,59.6,28.6,77.4,59.7,17,6.3,1159
"Hamidou Diallo",2019,2024,"['Guard']",77,202,"July 31, 1998","['Kentucky']","False","True",265,8.6,3.8,1.1,49.5,27.4,62.3,51.6,13.6,6.2,1160
"Boris Diaw",2004,2017,"['Forward', 'Center']",80,250,"April 16, 1982","","False","False",1064,8.6,4.4,3.5,49.3,33.6,71.7,52.4,12.9,51.6,1161
"Yakhouba Diawara",2007,2010,"['Guard', 'Forward']",79,225,"August 29, 1982","['Pepperdine']","False","False",187,3.5,1.4,0.7,35.7,30.1,65,45,6.1,1.7,1162
"Guillermo Díaz",2008,2008,"['Guard']",74,192,"March 4, 1985","['Miami (FL)']","False","False",6,0.8,0.3,0.2,25,0,60,25,9.9,0,1163
